ID,first_name,last_name,sex,title,birth_date,birth_place,death_date,death_place
725,"James_I","Stuart",M,"King of England","19 JUN 1566","Edinburgh Castle,,Scotland","27 MAR 1625","Theobalds Park,Hertfordshire,Herts,England"
726,"Anne of_Denmark","",F,,"14 OCT 1574","Skanderborg,Castle","4 MAR 1619","Hampton Court,Palace"
727,"Henry Frederick","Stuart",M,"Prince of Wales","19 FEB 1594","Stirling Castle","6 NOV 1612","St. James Palace,,England"
728,"Elizabeth","Stuart",F,,"19 AUG 1596","Dunfermline","13 FEB 1662","Leicester House,London,England"
729,"Margaret","Stuart",F,,"24 DEC 1598","Dalkeith Palace","MAR 1600","Linlithgow"
730,"Charles_I","Stuart",M,"King of England","19 NOV 1600","Dunfermline,Scotland","30 JAN 1649","Whitehall Palace,,England"
731,"Robert","Stuart",M,"Duke of Kintyre","18 JAN 1602","Dunfermline","27 MAY 1602","Dunfermline"
732,"Son","",M,,"MAY 1603","Stirling","MAY 1603","Stirling"
733,"Mary","Stuart",F,,"8 APR 1605","Greenwich Palace","16 SEP 1607","Stanwell Park,Middlesex,England"
734,"Sophia","Stuart",F,,"22 JUN 1606","Greenwich Palace","23 JUN 1606","Greenwich Palace"
735,"Frederick_V of_Palatinate","",M,"King of Bohemia","1596",,"1632",
736,"Sophia","Hanover",F,,"1630",,"1714",
737,"Frederick_II of_Denmark and_Norway","",M,"King","1 JUL 1534","Haderslevhus","4 APR 1588","Antvorslev,Castle"
738,"Sophia of_Mecklenburg- Gustrow","",F,,"4 SEP 1557","Wismar","4 OCT 1631","Nykobing"
739,"Henrietta Maria of_France","",F,,"26 NOV 1609","Hotel du Louvre,Paris,France","31 AUG 1669","Colombe,Near Paris,France"
740,"Henry_IV the_Great","",M,"King of France","13 DEC 1553","Pau,Navarre,France","14 MAY 1610","Paris,France"
741,"Marie","de'_Medici",F,,"1573",,"1642",
742,"Charles James","Stuart",M,"Duke of Cornwall","13 MAY 1629","Greenwich Palace","13 MAY 1629","Greenwich Palace"
743,"Charles_II","Stuart",M,"King of England","29 MAY 1630","St. James Palace,London,England","6 FEB 1685","Whitehall Palace,,England"
744,"Mary","Stuart",F,"Princess Royal","4 NOV 1631","St. James Palace,London,England","24 DEC 1660","Whitehall Palace,,England"
745,"Elizabeth","Stuart",F,,"29 DEC 1635","St. James Palace,London,England","8 SEP 1650","Carisbrooke,Castle,Isle of Wight,England"
746,"Anne","Stuart",F,,"17 MAR 1637","St. James Palace,London,England","5 NOV 1640","Richmond Palace,,England"
747,"Catherine","Stuart",F,,"29 JUN 1639","Whitehall Palace,,England","29 JUN 1639","Whitehall Palace,,England"
748,"Henry of_Gloucester","Stuart",M,"Duke","8 JUL 1640","Oatlands,Surrey,England","13 SEP 1660","Whitehall Palace"
749,"Henrietta Anne","Stuart",F,,"16 JUN 1644","Bedford House,Exeter,England","30 JUN 1670","St. Cloud"
750,"William_II of_Orange","",M,"Prince","1626",,"1650",
751,"Philippe of_Orleans","",M,"Duke","1641",,"1701",
752,"Catherine of_Braganza","",F,,"25 NOV 1638","Vila Vicosa,Lisbon,Portugal","31 DEC 1705","Bemposta,Palace,Lisbon,Portugal"
753,"John_IV the_Fortunate","",M,"King of Portugal","1605",,"1656",
754,"Luiza Maria","de_Guzman",F,,,,,
755,"Alfonso_IV","d'Este",M,"Duke of Modena",,,,
756,"Laura","Mortinozzi",F,,,,,
757,"William_III of_Orange","Stuart",M,"King of England","14 NOV 1650","The Hague,Netherlands","19 MAR 1702","Kensington,Palace,England"
758,"Ernest Augustus of_Brunswick","",M,"Duke","1629",,"1698",
759,"George_I of_Saxe- Meiningen","",M,"Duke",,,,
760,"Louisa Eleonora of_Hohenlohe-","",F,"Princess",,,,
761,"Frederick William_I","",M,"King of Prussia","14 AUG 1688","Berlin,Germany","31 MAY 1740","Potsdam,Germany"
762,"Maria of_Waldegrave","Walpole",F,"Countess",,,"1790",
763,"Anne","Horton",F,"Hon.",,,"1808",
764,"Christian_VII","",M,"King of Denmark","29 JAN 1749","Copenhagen,Denmark","13 MAR 1808","Rendsborg"
765,"Charles Louis","",M,"Elector Palatine",,,"1680",
766,"Rupert of_Cumberland","",M,"Duke","1619",,"1682",
767,"Maurice","",M,,,,"1654",
768,"Edward","",M,,,,,
769,"Charlotte","Landgrave",F,,,,,
770,"Ernest Augustus","",M,"Duke of York",,,,
771,"Sophia Charlotte","",F,,"20 OCT 1668","Schloss Iburg,Near,Osnabruck","1 FEB 1705","Hanover"
772,"Frederick_I","",M,"King of Prussia","11 JUL 1657","Konigsberg,Prussia","25 FEB 1713","Berlin,Germany"
773,"Henry_VII","Tudor",M,"King of England","28 JAN 1457","Pembroke Castle,Pembrokeshire,England","21 APR 1509","Richmond Palace,Richmond Surrey,England"
774,"Elizabeth of_York","",F,,"11 FEB 1466","Westminster,Palace,London,England","11 FEB 1503","Tower of London,London,England"
775,"Arthur","Tudor",M,"Prince of Wales","20 SEP 1486","St. Swithin's,Priory,Winchester,England","2 APR 1502","Ludlow Castle"
776,"Margaret","Tudor",F,,"28 NOV 1489","Westminster,Palace,London,England","18 OCT 1541","Methven Castle"
777,"John Crocker","Bulteel",M,,,,"1843",
778,"Elizabeth","Grey",F,"Lady",,,"1880",
779,"Horace Beauchamp","Seymour",M,"Sir","1791",,"1856",
780,"Elizabeth Malet","Palk",F,,,,"1827",
781,"George John","Spencer",M,"Earl of Spencer","1758",,"1834",
782,"Lavinia","Bingham",F,"Lady",,,"1831",
783,"Henry","Baring",M,,,,"1848",
784,"Cecilia Anne","Windham",F,,,,"1874",
785,"","",M,"Earl Howe I",,,"1870",
786,"Anne","Gore",F,,,,"1877",
787,"Louisa Jane","Russell",F,"Lady",,,"1905",
788,"","",M,"Duke Albercorn I",,,"1885",
789,"George Charles","Bingham",M,"Earl of Lucan","1800",,"1888",
790,"Anne","Brudenell",F,"Lady",,,"1877",
791,"Caroline","Paget",F,"Lady",,,"1874",
792,"Charles Lennox of_Richmond","",M,"Duke","1791",,"1860",
793,"David","Gill",M,,,,,
794,"Sarah","Ogston",F,,,,,
795,"William Smith","Marr",M,,,,"1898",
796,"Helen","Bean",F,,,,"1852",
797,"William","Littlejohn",M,,,,"1888",
798,"Janet","Bentley",F,,,,"1848",
799,"James","Crombie",M,,,,"1878",
800,"Katherine Scott","Forbes",F,,,,"1893",
801,"Gabriella Marina Alexandra","Windsor",F,"Lady","23 APR 1981",",,England",,
802,"Thomas","Troubridge",M,,,,,
803,"John_Charles of_Buccleuch VII","",M,"Duke",,,,
804,"Peter","Shand-Kydde",M,,,,,
805,"Unknown","",F,,,,,
806,"Barbara","Cartland",F,"Dame","JUL 1900",,,
807,"Robert","Fellowes",M,"Sir","1941",,,
808,"Laura Jane","Fellowes",F,,"JUL 1980",,,
809,"Neil","McCorquodale",M,,"1951",,,
810,"William","Fellowes",M,"Sir",,,,
811,"Andrew","Ferguson",M,"Major","1899",,"1966",
812,"Marian -Scott","Montagu-Douglas-",F,,"1980",,,
813,"John Andrew","Ferguson",M,,,,,
814,"Algernon Francis","Ferguson",M,"Brig. Gen.","1867",,"1943",
815,"John","Ferguson",M,"Colonel",,,,
816,"Thomas","Ferguson",M,,,,,
817,"Emma","Benyon",F,,,,,
818,"John","Ferguson",M,,,,,
819,"James","Ferguson",M,"Dr.",,,"1789",
820,"Fitzherbert","Wright",M,,"1905",,"1975",
821,"Doreen","Wingfield",F,"Hon.","1904",,,
822,"Jane Louisa","Ferguson",F,,"26 AUG 1957",",,England",,
823,"Hector","Barrantes",M,,"ABT    1939",,"10 AUG 1990","Buenos Aires,Argentina"
824,"Louise","",F,,,,"ABT    1967","Buenos Aires,,Argentina"
825,"Alex","Makim",M,,"ABT    1951",,,
826,"Seamus","Makim",M,,"ABT    1980",,,
827,"Beatrice Elizabeth Mary","Windsor",F,"Princess","8 AUG 1988","Portland Hosp.,,England",,
828,"Henry_VIII","Tudor",M,"King of England","28 JUN 1491","Greenwich Palace,,England","28 JAN 1547","Whitehall,London,England"
829,"Elizabeth","Tudor",F,,"2 JUL 1492",,"14 SEP 1495","Eltham Palace,,England"
830,"Mary","Tudor",F,,"18 MAR 1496","Richmond Palace,,England","25 JUN 1533","Westhorpe,Suffolk,England"
831,"Edmund","Tudor",M,,"21 FEB 1499","Greenwich,Palace,England","19 JUN 1500","Bishops Hatfield,Herts,England"
832,"Katherine","Tudor",F,,"2 FEB 1503","Tower of London,,England","1503",",,England"
833,"Catherine of_Aragon","",F,,"15 DEC 1485","Near Madrid,,Spain","7 JAN 1536","Kimbolton Castle,Hunts,England"
834,"James_IV","",M,"King of Scotland","1473",,"9 SEP 1513",
835,"James_V","",M,"King of Scotland","1512","Linlithgow,,Scotland","1542",
836,"Archibald","Douglas",M,"Earl of Angus VI",,,"ABT    1557",
837,"Henry","Stewart",M,"Lord Methven I",,,"ABT    1551",
838,"Louis_XII","",M,"King of France","27 JUN 1462","Blois,France","1 JAN 1515","Paris,France"
839,"Charles","Brandon",M,"Duke of Suffolk",,,"1545",
840,"Ferdinand_V","",M,"King of Aragon","1452",,"1516",
841,"Isabella","",F,"Queen of Castile","1451",,"1504",
842,"Daughter","Tudor",F,,"31 JAN 1510",,"31 JAN 1510",
843,"Henry_(1)","Tudor",M,"Duke of Cornwall","1 JAN 1511","Richmond Palace,,England","22 FEB 1511","Richmond Palace,,England"
844,"Henry_(2)","Tudor",M,"Duke of Cornwall","NOV 1513","Richmond Palace,,England","NOV 1513","Richmond Palace,,England"
845,"Son","Tudor",M,,"DEC 1514",,"DEC 1514",
846,"Mary_I","Tudor",F,"Queen of England","18 FEB 1516","Greenwich Palace,London,England","17 NOV 1558","St. James Palace,,England"
847,"Daughter","Tudor",F,,"10 NOV 1518",,"10 NOV 1518",
848,"Anne","Boleyn",F,,"ABT    1501","Blickling Hall,Norfolk,England","19 MAY 1536","Tower of London,London,England"
849,"Elizabeth_I","Tudor",F,"Queen of England","7 SEP 1533","Greenwich Palace,London,England","23 MAR 1603","Richmond Palace,London,England"
850,"Son","Tudor",M,,"29 JAN 1536","Greenwich,,England","29 JAN 1536","Greenwich,,England"
851,"Jane","Seymour",F,,"ABT    1505","Wolf Hall,Savernake,Wilts","24 OCT 1537","Hampton Court,Palace,England"
852,"Edward_VI","Tudor",M,"King of England","12 OCT 1537","Hampton Court,Palace,England","6 JUL 1553","Greenwich,Palace,England"
853,"Anne of_Cleves","",F,,"22 SEP 1515","Dusseldorf","17 JUL 1557","Chelsea,,England"
854,"John_III","",M,"Duke of Cleves",,,,
855,"Marie of_Julich","",F,,,,,
856,"Catherine","Howard",F,,"ABT    1520","Lambeth","13 FEB 1542","Tower of London,London,England"
857,"Edmund","Howard",M,"Lord",,,"1513",
858,"Joyce","Culpeper",F,,,,,
859,"Catherine","Parr",F,,"ABT    1512","Kendal Castle","5 SEP 1548","Sudeley Castle,Gloucestershire"
860,"John","Seymour",M,"Sir",,,,
861,"Margery","Wentworth",F,,,,,
862,"Edward","Borough",M,"Sir",,,"BEF    APR 1533",
863,"John","Nevill",M,"Baron Latimer #3",,,"2 MAR 1543","London,England"
864,"Thomas","Seymour",M,"Baron Seymour",,,,
865,"Thomas of_Kendal","Parr",M,"Sir",,,,
866,"Maud","Green",F,,,,,
867,"Daughter","Seymour",F,,"29 AUG 1548",,"5 SEP 1548",
868,"Jane","Grey",F,"Queen of England","OCT 1537","Bradgate,Leicestershire","12 FEB 1554","Tower of London,Tower Green,London,England"
869,"Guildford","Dudley",M,"Lord",,,"12 FEB 1554","Tower of London,Tower Green,London,England"
870,"Philip_II","",M,"King of Spain","21 MAY 1527","Valladolid","13 SEP 1598","El Escorial,Palace,Madrid,Spain"
871,"Charles_V","",M,"Emperor","1500",,"1558",
872,"Isabella of_Portugal","",F,,"1503",,"1539",
873,"Simon","de_Montfort",M,"Earl Leicester",,,"4 AUG 1265","Evesham"
874,"Tomislav of_Yugoslavia","",M,"Prince","1928","Belgrade",,
875,"Andrej of_Yugoslavia","",M,"Prince","1929",",,Yugoslavia",,
876,"William","Marshal",M,"Earl of Pembroke",,,"24 APR 1231",
877,"Alexander","",M,"Crown Prince","1945",,,
878,"Dona_Maria da_Gloria","",F,"Princess",,,,
879,"Peter of_Yugoslavia","",M,"Prince","1980","U.S.A.",,
880,"Philip of_Yugoslavia","",M,"Prince","1982","Washington D.C.,U.S.A.",,
881,"Alexander of_Yugoslavia","",M,"Prince","1982","Washington D.C.,U.S.A.",,
882,"Alice","Scholastica",F,"Grand Duchess",,,,
883,"Nikolas K.","George",M,,"1958",,,
884,"Katarina K.","George",F,,"1959",,,
885,"Linda","Bonney",F,,,,,
886,"George K.","George",M,,"1984",,,
887,"Christina of_Hesse","",F,,,,,
888,"Tatiana Maria","",F,,"1957",,,
889,"Christopher K.","George",M,,"1960",,,
890,"Kira Melita of_Leiningen","",F,,"1930",,,
891,"Vladimir K.","George",M,,"1964",,,
892,"Dimitrye K.","George",M,,"1965","London,England",,
893,"Mitsi","",F,,,,,
894,"Louis","",M,"Dauphin",,,"1765",
895,"Maria of_Russia","",F,"Grand Duchess","1907",,"1951",
896,"Elizabeth of_France","",F,,"1602",,"1644",
897,"Charles_X","",M,"King of France","1757",,"NOV 1836",
898,"Louis_XVIII","",M,"King of France","1755","Versailles,France","16 SEP 1824",
899,"Maria of_Russia","",F,"Grand Duchess","1953","Madrid,Spain,Spain",,
900,"Franz Wilhelm of_Prussia","",M,"Prince","ABT    1943",,,
901,"George of_Russia","",M,"Grand Duke","1981",",,Spain",,
902,"Karl of_Leiningen","",M,"Prince","1898",,"1946",
903,"Emich of_Leiningen","",M,"Prince","1926",,,
904,"Karl of_Leiningen","",M,"Prince","1928",,,
905,"Margarita","",F,"Princess","1932",,,
906,"Mechtilde","",F,"Princess","1936",,,
907,"Friedrich of_Leiningen","",M,"Prince","1938",,,
908,"Eilika of_Oldenberg","",F,"Duchess",,,,
909,"Melita","",F,"Princess","1951",,,
910,"Karl","",M,"Prince","1952",,,
911,"Andreas","",M,"Prince","1955",,,
912,"Stephanie","",F,"Princess","1958",,,
913,"Margarite of_Hohenloche- Ochringen","",F,"Princess",,,,
914,"Alexandra of_Hanover","",F,"Princess",,,,
915,"Ferdinand","",M,"Prince","1982",,,
916,"Karl","Bauscher",M,,,,,
917,"Ulf","Bauscher",M,,"1963",,,
918,"Berthold","Bauscher",M,,"1965",,,
919,"Johan","Bauscher",M,,"1971",,,
920,"Anne of_Austria","",F,,"1601",,"1666",
921,"Friedrich Wilhelm of_Prussia","",M,"Prince","1939",,,
922,"Michael of_Prussia","",M,"Prince","1939",,,
923,"Marie-Cecile of_Prussia","",F,"Princess","1942",,,
924,"Louis Ferdinand of_Prussia","",M,"Prince","1944",,"1977",
925,"Christian Sigismund of_Prussia","",M,"Prince","1946",,,
926,"Nina zu_Reventlow","",F,"Countess",,,,
927,"Daughter","",F,,,,,
928,"Donata of_Castell- Rudenhausen","",F,,,,,
929,"Georg Friedrich","",M,"Prince","1976",,,
930,"Corneilie-Cecile","",F,"Princess","1978",,,
931,"Jutta","Jorn",F,,,,,
932,"Micaela","",M,"Prince","1967",,,
933,"Nataly","",F,"Princess","1970",,,
934,"Waltraud","Freydag",F,,,,,
935,"Philip","",M,"Prince","1968",,,
936,"Ehrengard","von_Reden",F,,,,,
937,"Friedrich","",M,"Prince","1979",,,
938,"Viktoria","",F,"Princess","1982",,,
939,"Joachim","",M,"Prince","1984",,,
940,"Margaret","Messenger",F,,,,,
941,"Emily","",F,"Hon.","1976",,,
942,"Benjamin","",M,"Hon.","1978",,,
943,"Alexander","Lascelles",M,"Hon.","1980",,,
944,"Edward","Lascelles",M,,"1982",,,
945,"Fredericka Ann","Duhrrson",F,,,,,
946,"Sophie","Lascelles",F,,"1973",,,
947,"Rowan","Lascelles",M,,"1977",,,
948,"Julie","Bayliss",F,,,,,
949,"Thomas","Lascelles",M,,"1982",,,
950,"Ellen","Lascelles",F,,"1984",,,
951,"Marie Louise","",F,,"1662",,"1689",
952,"Maud","Carnegie",F,"Lady","1893",,"1945",
953,"Charles of_Southesk","",M,"Earl XI","1893",,,
954,"James George Alexander","Carnegie",M,"Duke of Fife","1929",,,
955,"Caroline","Dewar",F,"Hon.",,,,
956,"Alexandra","Carnegie",F,"Lady","1959",,,
957,"David Charles","Carnegie",M,"Earl of Macduff","1961",,,
958,"Ragnhild Alexandra","",F,"Princess","1930","Oslo,Norway",,
959,"Astrid Maud Ingeborg","",F,"Princess","1932",,,
960,"Johan Martin","Ferner",M,,"1927",,,
961,"Cathrine","Ferner",F,,"1962",,,
962,"Benedickte","Ferner",M,,"1963",,,
963,"Alexander","Ferner",M,,"1965",,,
964,"Elisabeth","Ferner",F,,"1969",,,
965,"Carl Christian","Ferner",M,,"1972",,,
966,"Erling","Lorentzen",M,,,,,
967,"Haakon","Lorentzen",M,,,,,
968,"Ingeborg","Lorentzen",F,,,,,
969,"Ragnhild Alexandra","Lorentzen",F,,"1968",",,Brazil",,
970,"Anne of_Bourbon-Parma","",F,"Princess",,,,
971,"Joana Maria Valentina","Lambrino",F,,"3 OCT 1898","Roman,Romania","11 MAR 1953","Paris,France"
972,"Margarita of_Romania","",F,"Princess","1949","Lausanne",,
973,"Helen of_Romania","",F,"Princess","1950","Lausanne",,
974,"Irina","",F,"Princess","1953","Lausanne",,
975,"Sophie","",F,"Princess","1957",,,
976,"Maria","",F,"Princess","1964",,,
977,"Robin","Medforth-Mills",M,"Professor",,,,
978,"Nicholas","Medforth-Mills",M,,"1985",,,
979,"John","Kreuger",M,,,,,
980,"Michael","Kreuger",M,,"1985",,,
981,"William","Worsley",M,"Sir",,,,
982,"Martin","Lascelles",M,,"1963",,,
983,"Alexandra","Morton",F,,,,,
984,"Richard_III","",M,"King of England","2 OCT 1452","Fotheringay,Castle","22 AUG 1485","Bosworth"
985,"Anne","Nevill",F,"Lady","11 JUN 1456","Warwick Castle,Warwick,England","16 MAR 1485","Westminster,Palace,London,England"
986,"Edward","",M,"Prince of Wales","ABT    DEC 1473","Middleham Castle,Yorkshire,England","9 APR 1484","Middleham Castle,Yorkshire,England"
987,"Richard","Neville",M,"Earl of Warwick",,,"1471",
988,"Richard","Plantagenet",M,"Duke of York",,,"1460",
989,"Cicely","Nevill",F,"Lady",,,"1495",
990,"Ralph of_Westmoreland 1st","",M,"Earl",,,,
991,"Edward_IV","",M,"King of England","28 APR 1442","Rouen,France","9 APR 1483","Westminster,Palace,London,England"
992,"Edmund","",M,"Earl of Rutland",,,"1460",
993,"George","",M,"Duke of Clarence",,,,
994,"Anne","",F,,,,"1476",
995,"Elizabeth","",F,,,,"1503",
996,"Margaret","",F,,,,,
997,"Ursula","",F,,,,,
998,"Elizabeth","Woodville",F,,"ABT    1437","Grafton Regis,Northants","8 JUN 1492","Bermondsey Abbey"
999,"Mary","",F,,"AUG 1466","Windsor Castle,Berkshire,England","23 MAY 1482","Greenwich,,England"
1000,"Cicely","",F,,"20 MAR 1469",,"24 AUG 1507","Quarr Abbey,Isle of Wight,England"
1001,"Edward_V","",M,"King of England","4 NOV 1470","Sanctuary,Westminster,England","1483",
1002,"Margaret","",F,,"10 APR 1472",,"11 DEC 1472",
1003,"Richard","",M,"Duke of York","17 AUG 1473","Shrewsbury","AFT    1483",
1004,"Anne","",F,,"2 NOV 1475","Westminster,Palace","23 NOV 1511",
1005,"George","",M,"Duke of Bedford","MAR 1477","Windsor Castle,Berkshire,England","MAR 1479","Windsor Castle,Berkshire,England"
1006,"Catherine","",F,,"ABT 14 AUG 1479","Eltham Palace","15 NOV 1527","Tiverton"
1007,"Bridget","",F,,"10 NOV 1480","Eltham Palace","1517","Dartford"
1008,"John 1st","Welles",M,"Viscount Welles",,,"9 FEB 1499","London,,England"
1009,"Thomas of_Isle_of_Wight","Kyme",M,,,,,
1010,"Anne","Mowbray",F,"Lady",,,"19 NOV 1481","Greenwich,,England"
1011,"Thomas 3rd","Howard",M,"Duke of Norfolk",,,,
1012,"William","Courtenay",M,"Earl of Devon",,,,
1013,"John","Grey",M,"Sir",,,"17 FEB 1461",
1014,"Son","Grey",M,,"BEF    1461",,,
1015,"Son_2","Grey",M,,"BEF    1461",,,
1016,"Edward","",M,"Prince of Wales","13 OCT 1453","Westminster,Palace,England","4 MAY 1471","Tewkesbury"
1017,"Margaret of_Austria","",F,,"1584",,"1611",
1018,"Edward","",M,"Earl of Warwick",,,"1499",
1019,"Margaret of_Salisbury","",F,"Countess","ABT    1469",,"1541",
1020,"Henry","",M,"Duke of Exeter",,,,
1021,"Thomas","St._Leger",M,"Sir",,,,
1022,"Charles the_Bold","",M,"Duke of Burgundy",,,,
1023,"Richard of_Cambridge","Plantagenet",M,"Earl",,,"1415",
1024,"Anne","Mortimer",F,"Lady",,,,
1025,"Isabel","Plantagenet",F,,,,"1484",
1026,"Henry 1st","Bourchier",M,"Earl of Essex",,,,
1027,"Charles_XV","",M,"King of Sweden","3 MAY 1826","Stockholm,Sweden","19 AUG 1872","Malmo"
1028,"Louise","",F,,"5 AUG 1828","The Hague","30 MAR 1871","Stockholm,Sweden"
1029,"Louisa of_Prussia","",F,,"1808",,"1870",
1030,"Ernest Augustus of_Hanover","Hanover",M,"Prince","1914",,"1987",
1031,"George William","Hanover",M,,"1915",,,
1032,"Mireille","Dutry",F,,"1946",,,
1033,"Christian","Hanover",M,,"1919",,"1981",
1034,"Guelph Henry","Hanover",M,,"1923",,,
1035,"Monika of_Solms-Laubach","Hanover",F,,"1929",,,
1036,"Alexandra of_Ysenburg_and Budingen","",F,,"1938",,,
1037,"Sophie of_Greece","",F,,"1914",,,
1038,"Ortrud of_Schleswig- Holstein","",F,,"1925",,"1980",
1039,"Marie","Hanover",F,,"1952",,,
1040,"Ernest Augustus of_Hanover","Hanover",M,"Prince","1954",,,
1041,"Ludwig Rudolph","Hanover",M,"Prince","28 NOV 1955",,"29 NOV 1989",
1042,"Olga","Hanover",F,,"1958",,,
1043,"Alexandra","Hanover",F,,"1959",,,
1044,"Heinrich Julius","Hanover",M,,"1961",,,
1045,"Michael","von_Hochberg",M,"Count",,,,
1046,"Chantal","Hochuli",F,,,",Switzerland",,
1047,"Ernest Augustus","Hanover",M,,"1983",,,
1048,"Christian Heinrich","Hanover",M,,"1985",,,
1049,"Isabella Valsassina","von_Thurn",F,"Countess","1962",,"29 NOV 1989",
1050,"Otto","Hanover",M,,"1988",,,
1051,"Andreas of_Leiningen","",M,"Prince",,,,
1052,"Max of_Baden","",M,"Prince",,,,
1053,"Frederick Francis_IV of_Mecklenburg","",M,"Grand Duke",,,,
1054,"Margrethe of_Denmark","",F,,,,,
1055,"Constantine","Lambrino",M,"Col.",,,,
1056,"Euphrosine","Alcaz",F,,,,,
1057,"Son","Hohenzollern",M,,,,,
1058,"Elena (Magda)","Lupescu",F,,"15 SEP 1895","Jassy","28 JUN 1977","Estoril,Portugal"
1059,"Ingrid Victoria of_Sweden","",F,"Princess","28 MAR 1910","Stockholm",,
1060,"Paul of_Sparta","Oldenburg",M,"Duke","1967",,,
1061,"Nicholas","Oldenburg",M,,"1969",,,
1062,"","Oldenburg",F,,,,,
1063,"","Oldenburg",F,,,,,
1064,"Irene of_Greece","Oldenburg",F,"Crown Princess","1942",,,
1065,"Petros","Manos",M,"Col.",,,,
1066,"Maria","Argyropoulos",F,,,,,
1067,"Frederick Eugene","Wurttemberg",M,,"1732",,"1797",
1068,"Frederica of_Brandenburg- Schwedt","",F,,"1736",,"1798",
1069,"Augusta of_Brunswick","",F,,"1764",,"1788",
1070,"William_I of_Wurttemberg","Wurttemberg",M,"King","1781",,"1864",
1071,"Catherine","Wurttemberg",F,,"1783",,"1835",
1072,"Sophia Dorothea","Wurttemberg",F,,"1783",,"1784",
1073,"Paul","Wurttemberg",M,,"1785",,"1852",
1074,"Charlotte of_Bavaria","Wittelsbach",F,,"1792",,"1873",
1075,"Catherine of_Russia","",F,"Grand Duchess","1788",,"1819",
1076,"Marie","Wurttemberg",F,,"1816",,"1887",
1077,"Sophie","Wurttemberg",F,,"17 JUN 1818","Stuttgart","3 JUN 1877","Het Loo,Apeldoorn"
1078,"Pauline of_Wurttemberg","",F,,"1800",,"1873",
1079,"Catherine","Wurttemberg",F,,"1821",,"1898",
1080,"Charles_I of_Wurttemberg","Wurttemberg",M,"King","1823",,"1891",
1081,"Augusta","Wurttemberg",F,,"1826",,"1898",
1082,"Olga of_Russia","",F,"Grand Duchess","1822",,"1892",
1083,"Hermann of_Saxe-Weimar","",M,"Prince",,,,
1084,"Charlotte of_Saxe- Hildburghausen","",F,,"1787",,"1847",
1085,"Charlotte","Wurttemberg",F,,"1807",,"1873",
1086,"Frederick","Wurttemberg",M,,"1808",,"1870",
1087,"Paul","Wurttemberg",M,,"1809",,"1810",
1088,"Pauline","Wurttemberg",F,,"1810",,"1856",
1089,"August","Wurttemberg",M,,"1813",,"1885",
1090,"William_II of_Wurttemberg","Wurttemberg",M,"King","1848",,"1921",
1091,"Marie of_Waldeck and_Pyrmont","",F,,"1857",,"1882",
1092,"Pauline","Wurttemberg",F,,"1877",,"1965",
1093,"Ulrich","Wurttemberg",M,,"1880",,"1880",
1094,"Frederick","",M,"Prince of Wied",,,,
1095,"Charlotte of_Schaumburg- Lippe","",F,,"1864",,"1946",
1096,"Nicholas","Hohenzollern",M,,"1903",,"1978",
1097,"Ileana","Hohenzollern",F,,"1909",,,
1098,"Mircea","Hohenzollern",,,"1913",,"2 NOV 1916",
1099,"Leopold of_Hohenzollern","Hohenzollern",M,"Prince","1835",,"1905",
1100,"Antonia of_Portugal","",F,,"1845",,"1913",
1101,"William of_Hohenzollern","Hohenzollern",M,"Prince","1864",,"1927",
1102,"Charles Anthony","Hohenzollern",M,,"1868",,"1919",
1103,"Josephine of_Belgium","",F,,"1872",,"1958",
1104,"Charles Anthony","Hohenzollern",M,"Prince","1811",,"1885",
1105,"Josephine of_Baden","",F,,"1813",,"1900",
1106,"Stephanie","Hohenzollern",F,,"1837",,"1859",
1107,"Carol_I of_Romania","Hohenzollern",M,"Prince","20 APR 1839","Sigmaringen,Germany","10 OCT 1914","Castle Pelesch,Sinaia,Romania"
1108,"Anthony","Hohenzollern",M,,"1841",,"1866",
1109,"Frederick","Hohenzollern",M,,"1843",,"1904",
1110,"Marie","Hohenzollern",F,,"1845",,"1912",
1111,"Pedro_V","",M,"King of Portugal",,,,
1112,"Elisabeth of_Wied","",F,,"29 DEC 1843","Neuwied,Germany","3 MAR 1916","Curtea de Arges,Romania"
1113,"Louise of_Thurn and_Taxis","",F,,,,,
1114,"Philip of_Flanders","",M,"Count","1837",,"1905",
1115,"Baudouin","",M,,"1869",,"1891",
1116,"Henriette (twin)","",F,,"1870",,"1948",
1117,"Josephine (twin)","",F,,"1870",,"1871",
1118,"Albert_I","",M,"King of Belgians","8 APR 1875","Brussels,Belgium","17 FEB 1934","Marche-les-Dames,Near Namur"
1119,"Elisabeth of_Bavaria","",F,,"25 JUL 1876","Possenhofen","23 NOV 1965","Chateau de,Stuyvenberg"
1120,"Charles of_Belgium","",M,"Regent","1903",,"1983",
1121,"Marie Jose","",F,,"1906",,,
1122,"Umberto_II","",M,"King of Italy","1904",,"1983",
1123,"Josephine Charlotte","",F,,"1927",,,
1124,"Albert","",M,"Prince of Liege","1934",,,
1125,"Jean of_Luxembourg","",M,"Grand Duke","1921",,,
1126,"Fabiola de_Mora_y_Aragon","",F,,"11 JUN 1928","Madrid,Spain",,
1127,"Paola di_Calabria","Ruffo",F,,"1937",,,
1128,"Philippe","",M,,"1960",,,
1129,"Astrid","",F,,"1962",,,
1130,"Laurent","",M,,"1963",,,
1131,"Lorenz of_Austria-Este","",M,"Archduke","1955",,,
1132,"Mary Liliane","Baels",F,,"28 NOV 1916","Highbury,London,England",,
